path	category	name	frequency_hz	preset	protocol
BruceRF/Weather Stations/VITEK_VT-3531/T3.sub	Weather Stations	T3	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Weather Stations/VITEK_VT-3531/T1.sub	Weather Stations	T1	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Weather Stations/VITEK_VT-3531/T0.sub	Weather Stations	T0	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Weather Stations/Nexus-TH/nexus-th_raw.sub	Weather Stations	nexus-th_raw	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Weather Stations/Nexus-TH/nexus-th_parsed.sub	Weather Stations	nexus-th_parsed	433920000	FuriHalSubGhzPresetOok650Async	Nexus-TH
BruceRF/Weather Stations/LaCrosse-TX141TH-BV2/LaCrosse-TX141TH-BV2-decoded.sub	Weather Stations	LaCrosse-TX141TH-BV2-decoded	433920000	FuriHalSubGhzPresetOok270Async	TX141THBv2
BruceRF/Weather Stations/LaCrosse-TX141TH-BV2/LaCrosse-TX141TH-BV2-raw.sub	Weather Stations	LaCrosse-TX141TH-BV2-raw	433920000	FuriHalSubGhzPresetOok270Async	RAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,47,04_SubGHz.sub	Weather Stations	2024-03-31_15,47,04_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/RAW-RECORDING-SubGHz_2024-03-31_17,31,22.sub	Weather Stations	RAW-RECORDING-SubGHz_2024-03-31_17,31,22			
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,36,10_SubGHz.sub	Weather Stations	2024-03-31_16,36,10_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,49,05_SubGHz.sub	Weather Stations	2024-03-31_16,49,05_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,16,37_SubGHz.sub	Weather Stations	2024-03-31_15,16,37_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,41,24_SubGHz.sub	Weather Stations	2024-03-31_15,41,24_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,51,09_SubGHz.sub	Weather Stations	2024-03-31_16,51,09_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,43,59_SubGHz.sub	Weather Stations	2024-03-31_15,43,59_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,45,59_SubGHz.sub	Weather Stations	2024-03-31_16,45,59_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,51,40_SubGHz.sub	Weather Stations	2024-03-31_16,51,40_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_16,50,07_SubGHz.sub	Weather Stations	2024-03-31_16,50,07_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_15,42,57_SubGHz.sub	Weather Stations	2024-03-31_15,42,57_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/2024-03-31_17,42,48_SubGHz.sub	Weather Stations	2024-03-31_17,42,48_SubGHz	433920000	FuriHalSubGhzPresetOok650Async	BinRAW
BruceRF/Weather Stations/U_UNNI-UN0581B/RAW-RECORDING-SubGHz_2024-03-31_17,41,01.sub	Weather Stations	RAW-RECORDING-SubGHz_2024-03-31_17,41,01	433920000	FuriHalSubGhzPresetOok650Async	RAW
