folder	files	txt	ps1	py	sh	bat	js	c
Windows_MacOS_ascii-live_CMD_Rickroll	2	2	0	0	0	0	0	0
WindowS_PoP_uP	1	0	0	0	0	0	0	0
windows_repair	1	1	0	0	0	0	0	0
Windows-Duck-In-The-Middle	1	1	0	0	0	0	0	0
Windows-Idiot-Prank	3	1	1	0	0	0	0	0
Windows-netstat	2	1	1	0	0	0	0	0
Windows-Privilege-Excalibur	2	1	1	0	0	0	0	0
Windows-Product-Key-Grabber	2	1	1	0	0	0	0	0
Windows-Screenshot-Exfil	2	1	1	0	0	0	0	0
Windows-Spam-Terminals	1	1	0	0	0	0	0	0
windows10	12	12	0	0	0	0	0	0
windows11	13	13	0	0	0	0	0	0
WindowsLicenseKeyExfiltration	1	1	0	0	0	0	0	0
WLAN-Windows-Passwords	4	2	2	0	0	0	0	0
x-frame-options_scanner	8	1	0	0	0	0	5	0
you-idiot	1	1	0	0	0	0	0	0
YouHaveBeenQuacked2.0	1	1	0	0	0	0	0	0
Zero-Lazagne	1	1	0	0	0	0	0	0
