folder	files	txt	ps1	py	sh	bat	js	c
BadUSB	579	484	14	5	10	4	1	0
BadUSB-FalsePhilosopher	3715	1534	282	204	98	49	376	68
Bash-History	1	1	0	0	0	0	0	0
Batch	10	10	0	0	0	0	0	0
BeEF_Injection	1	1	0	0	0	0	0	0
Beigeworms-Tool-Suite	1	0	1	0	0	0	0	0
BitLockerKeyDump	1	1	0	0	0	0	0	0
Blockator	1	1	0	0	0	0	0	0
blue-screen	1	1	0	0	0	0	0	0
Bombs	28	28	0	0	0	0	0	0
Bookmark-Hog	2	1	1	0	0	0	0	0
Brave_Breacher	1	1	0	0	0	0	0	0
Browse-to-URL-Example	1	1	0	0	0	0	0	0
Browser-History-to-Discord	1	0	1	0	0	0	0	0
Browser-Passwords-Dropbox-Exfiltration	3	2	1	0	0	0	0	0
Button	9	9	0	0	0	0	0	0
button_deploy	1	1	0	0	0	0	0	0
calculator-spam	1	1	0	0	0	0	0	0
Call_Someone_On_An_iPhone	1	1	0	0	0	0	0	0
Camouflage_Your_Backdoor	2	1	0	0	1	0	0	0
Canary_Duck	1	1	0	0	0	0	0	0
cApS-Troll	2	1	1	0	0	0	0	0
capslock	1	1	0	0	0	0	0	0
CartmanSong	1	1	0	0	0	0	0	0
Change Wallpaper With Screenshot	2	1	0	1	0	0	0	0
Change_Github_Profile_Settings	1	1	0	0	0	0	0	0
Change_The_App_That_Will_Be_Runned	1	1	0	0	0	0	0	0
Change_the_password_of_the_windows_user	1	1	0	0	0	0	0	0
Change_Windows_User_Name	1	1	0	0	0	0	0	0
ChangeDesktopWallpaper_LinuxKDE	1	1	0	0	0	0	0	0
ChangeGitRemoteLink	1	1	0	0	0	0	0	0
ChangeMacAddress_Linux	1	1	0	0	0	0	0	0
ChangeNetworkConfiguration_Linux	1	1	0	0	0	0	0	0
Char_Test	1	1	0	0	0	0	0	0
Char_Test_ALTSTRING	1	1	0	0	0	0	0	0
Chrome-DB-to-Discord	3	1	2	0	0	0	0	0
chrome-exfil	1	1	0	0	0	0	0	0
Chrome-Extension-Keylogger	2	1	1	0	0	0	0	0
Chrome2Discord	1	1	0	0	0	0	0	0
ChromebookProvisioning	1	1	0	0	0	0	0	0
chromeOS	13	13	0	0	0	0	0	0
Clean-History	2	1	1	0	0	0	0	0
ClipBoard-Creep	1	1	0	0	0	0	0	0
CloseAllApplicationsInWindows	3	1	1	1	0	0	0	0
Closer	1	1	0	0	0	0	0	0
Computer-Acid	1	1	0	0	0	0	0	0
Conditions	6	6	0	0	0	0	0	0
Console-QRcode	2	1	1	0	0	0	0	0
Continuos Print In Terminal	2	1	0	1	0	0	0	0
Cookie-Stealer	1	1	0	0	0	0	0	0
Copy-And-Waste	4	1	1	0	0	1	0	0
CRASHER	1	1	0	0	0	0	0	0
Create_And_Exfiltrate_A_Webhook_Of_Discord	1	1	0	0	0	0	0	0
Credential_Harvester_MarkCyber	1	1	0	0	0	0	0	0
credentials	26	17	1	0	2	0	0	0
Cybercrime WINDOWS	1	1	0	0	0	0	0	0
CYE_Was_Here	1	1	0	0	0	0	0	0
datacopier	1	0	0	0	0	0	0	0
DawnKit	1	1	0	0	0	0	0	0
Defeat_Defender	1	1	0	0	0	0	0	0
Defend_yourself_against_AtlasVPN_Bug-Door	1	1	0	0	0	0	0	0
Defend_yourself_against_CVE-2023-36884_Office_and_Windows_HTML_R	1	1	0	0	0	0	0	0
Defend_yourself_from_CVE-2023-23397	1	1	0	0	0	0	0	0
Delete_A_Reminder_On_An_iPhone	1	1	0	0	0	0	0	0
Deshellerator	1	1	0	0	0	0	0	0
destructive	54	53	0	0	0	0	0	0
detect_ready	1	1	0	0	0	0	0	0
DevilsCupid	2	1	1	0	0	0	0	0
Digital_Rain	1	1	0	0	0	0	0	0
Disable_WiFi-MacOS	1	1	0	0	0	0	0	0
Disable_Windows_Defender	1	1	0	0	0	0	0	0
Disable_Windows_Defender22H2	1	1	0	0	0	0	0	0
Disable-Windows-Defender-Permanently	1	1	0	0	0	0	0	0
Discord_FAQ	4	4	0	0	0	0	0	0
Discord_Windows_Wifi_IP-Info	1	1	0	0	0	0	0	0
Discord-C2	1	1	0	0	0	0	0	0
Discord-CLI	2	2	0	0	0	0	0	0
Discord-Infostealer	2	1	1	0	0	0	0	0
Discord-Keylogger	1	1	0	0	0	0	0	0
Discord-Media-Hog	2	1	1	0	0	0	0	0
Discord-Reverse-Shell	2	1	1	0	0	0	0	0
DNS_spoofer	1	1	0	0	0	0	0	0
DNS-TXT-CommandInjection	2	1	1	0	0	0	0	0
Download-and-Execute	1	1	0	0	0	0	0	0
Droidex	1	1	0	0	0	0	0	0
Drop_Zip_Execute	1	1	0	0	0	0	0	0
Dropbox-Bandit	4	2	2	0	0	0	0	0
Duckie-Harvest	2	1	1	0	0	0	0	0
duckin8or	1	1	0	0	0	0	0	0
duckNet	30	0	0	0	1	0	0	0
Ducky_Crab	1	1	0	0	0	0	0	0
DUCKY_REAPER	1	1	0	0	0	0	0	0
DUCKY-WIFI_GRABER	1	1	0	0	0	0	0	0
DuckyCave-Game	1	1	0	0	0	0	0	0
DuckyHelper	1	1	0	0	0	0	0	0
DuckyLogger	2	1	0	0	0	0	0	0
DuckyLogger2	2	1	0	0	0	0	0	0
DuckyScript_UDL	1	0	0	0	0	0	0	0
Dump_Windows_Memory_Through_ProcDump	1	1	0	0	0	0	0	0
Earrape_Troll	1	1	0	0	0	0	0	0
Edit_A_Reminder_On_An_iPhone	1	1	0	0	0	0	0	0
Edit_The_Default_Real_App_With_An_Arbitrary	3	1	0	0	0	0	0	0
edit2exfil	1	1	0	0	0	0	0	0
EmailAndTextMessage	1	1	0	0	0	0	0	0
EnableSSH-Android	1	1	0	0	0	0	0	0
EngagementDucky	1	1	0	0	0	0	0	0
EternalLock	1	1	0	0	0	0	0	0
Example_Payloads	2	2	0	0	0	0	0	0
execution	23	22	1	0	0	0	0	0
exfil_auto_eof_detect	1	1	0	0	0	0	0	0
Exfiltrate Computer Screenshots	2	1	0	1	0	0	0	0
Exfiltrate_file_through_GUI_mac	1	1	0	0	0	0	0	0
Exfiltrate_Windows_Product_Key	1	1	0	0	0	0	0	0
Exfiltrate-Mac-Address-MacOS	1	1	0	0	0	0	0	0
Exfiltrate-to-Discord	2	1	1	0	0	0	0	0
Exfiltrate-to-Dropbox	2	1	1	0	0	0	0	0
Exfiltrate-to-Telegram	2	1	1	0	0	0	0	0
Exfiltrate-to-USB	2	1	1	0	0	0	0	0
ExfiltrateCloudCreds	1	1	0	0	0	0	0	0
ExfiltrateLinuxContentWithDropbox	1	1	0	0	0	0	0	0
ExfiltrateLinuxLogFiles	1	1	0	0	0	0	0	0
ExfiltrateNetworkConfiguration_Linux	1	1	0	0	0	0	0	0
ExfiltrateNetworkTraffic_Linux	2	1	0	0	1	0	0	0
ExfiltratePhotosThroughShell	2	1	0	0	1	0	0	0
ExfiltrateProcessInfo_Linux	1	1	0	0	0	0	0	0
ExfiltrateProcessInfo_Windows	2	1	1	0	0	0	0	0
Exfiltrates_the_entire_database_of_the_Notion_client	1	1	0	0	0	0	0	0
ExfiltrateSSHKeys	1	1	0	0	0	0	0	0
ExfiltrateWiFiPasswords_Linux	2	1	0	0	1	0	0	0
ExfiltrateWindowsCredentials	4	3	0	1	0	0	0	0
exfiltration	40	34	3	0	0	1	0	0
Exploit_Citrix_NetScaler_ADC_and_Gateway_through_CVE-2023-4966	2	1	0	0	1	0	0	0
ExploitingAnExecutableFile	2	1	0	0	1	0	0	0
Explorer-spam	1	1	0	0	0	0	0	0
Explorerspam	1	1	0	0	0	0	0	0
Export_all_saved_certificates_with_Adobe_Reader	1	1	0	0	0	0	0	0
Export_Cookies_From_Firefox	2	1	1	0	0	0	0	0
Exports_all_the_links_of_the_downloads	1	1	0	0	0	0	0	0
fake-update	1	1	0	0	0	0	0	0
FalsePhilosopher	284	260	6	0	3	2	0	0
File-Load_BadUSB	1	1	0	0	0	0	0	0
File-Monitor-to-Discord	2	1	1	0	0	0	0	0
FileHunter	1	1	0	0	0	0	0	0
Filetype-Organizer	2	1	1	0	0	0	0	0
Firewall_Deactivator	1	1	0	0	0	0	0	0
Flip-AcidBurn	2	1	1	0	0	0	0	0
Flip-ADV-Recon	2	1	1	0	0	0	0	0
Flip-JumpScare	3	1	1	0	0	0	0	0
Flip-PineApple	3	2	1	0	0	0	0	0
Flip-PS-Draw	4	1	2	0	0	0	0	0
Flip-Rage-PopUps	2	1	1	0	0	0	0	0
Flip-Subscribe	3	2	1	0	0	0	0	0
Flip-Wallpaper-Troll	2	1	1	0	0	0	0	0
Flip-We-Found-You	2	1	1	0	0	0	0	0
Flipper_Zero_Badusb_hack5_payloads	105	54	13	0	1	1	0	0
Flipper-Zero-BadUSB-made just for Flipper	25	12	11	0	0	0	0	0
Follow_Someone_On_Instagram	1	1	0	0	0	0	0	0
Full-ScreenBannerJoke	2	1	0	1	0	0	0	0
Functions	2	2	0	0	0	0	0	0
Funni_Stick_V3	3	1	0	0	0	0	0	0
Gather_Network_Info	1	1	0	0	0	0	0	0
general	27	22	4	0	0	0	0	0
Get-Connected-USBs	1	1	0	0	0	0	0	0
GIF-Player	2	1	1	0	0	0	0	0
GLITCH.DANGER	1	1	0	0	0	0	0	0
Global-Powershell-Logging	2	1	1	0	0	0	0	0
Global-PS-Trascription-to-Discord	2	1	1	0	0	0	0	0
GNU-Linux	46	31	0	4	7	0	1	0
GoodUSB	2	2	0	0	0	0	0	0
Google-Exfil	2	1	1	0	0	0	0	0
Google-Phishing	2	1	1	0	0	0	0	0
Grabber-Discord_Webhook	1	1	0	0	0	0	0	0
GUI SPACE REPEAT	1	1	0	0	0	0	0	0
Hacker_Typer	2	2	0	0	0	0	0	0
HashDumpDucky	1	1	0	0	0	0	0	0
Hasta lasagna!	2	1	1	0	0	0	0	0
hello_os	1	1	0	0	0	0	0	0
Hey_Everybody	1	1	0	0	0	0	0	0
Hidden_access	1	1	0	0	0	0	0	0
History-Grabber	1	1	0	0	0	0	0	0
History-Pig	2	1	1	0	0	0	0	0
Holding Keys	3	3	0	0	0	0	0	0
Honk	1	1	0	0	0	0	0	0
Horsd	2	1	1	0	0	0	0	0
Hotfix_Warning	1	1	0	0	0	0	0	0
HTML_Fork-Bomb	2	2	0	0	0	0	0	0
Image-to-Console	2	1	1	0	0	0	0	0
iMessage-Data-Grabber	1	1	0	0	0	0	0	0
incident_response	6	4	1	0	0	0	0	0
Install_And_Run_Any_Arbitrary_Executable-No_Internet_And_Root_Needed	4	1	0	2	0	0	0	0
Install_Any_Arbitrary_VSCode_Extension	1	1	0	0	0	0	0	0
Install_Official_VSCode_Extension	1	1	0	0	0	0	0	0
instant-screenshot	1	1	0	0	0	0	0	0
IOS	24	22	0	0	0	0	0	0
IP-Out	1	1	0	0	0	0	0	0
iphone GUI lag out	1	1	0	0	0	0	0	0
iphone-crasher	1	1	0	0	0	0	0	0
iphone-crasher(better)	1	1	0	0	0	0	0	0
Jakoby_BadUSB	58	26	27	0	0	0	0	0
Jitter	2	2	0	0	0	0	0	0
Kavitate-BadUSB	9	8	0	0	0	0	0	0
Kill-Explorer	1	1	0	0	0	0	0	0
Kiosk-Evasion-Bruteforce	1	1	0	0	0	0	0	0
Kuronons_FZ_Win	1	1	0	0	0	0	0	0
LAN-Tools	1	1	0	0	0	0	0	0
layouts	17	0	0	0	0	0	0	0
Lazagne-Exfil	2	1	1	0	0	0	0	0
LED	3	3	0	0	0	0	0	0
Lin_ICMP-Data-Exfiltration	2	1	0	0	1	0	0	0
linux_hid_exfil	1	1	0	0	0	0	0	0
Local_WLAN_Borrower	2	1	1	0	0	0	0	0
Lock Keys	4	4	0	0	0	0	0	0
lol_killer	1	1	0	0	0	0	0	0
Loops	3	3	0	0	0	0	0	0
MacOS	2	2	0	0	0	0	0	0
macOS_rickroll	1	1	0	0	0	0	0	0
MacOS_Silent_Exfiltration_Important_Files	1	1	0	0	0	0	0	0
MacOS-narstybits	107	107	0	0	0	0	0	0
MacOS-Remap-Dvorak	1	1	0	0	0	0	0	0
MacTalk	1	1	0	0	0	0	0	0
Mail-Grabber	1	1	0	0	0	0	0	0
Make_Windows_performant_but_ugly_and_boring	1	1	0	0	0	0	0	0
Mario-head	1	1	0	0	0	0	0	0
MaxVolumeRickroll_Windows	1	1	0	0	0	0	0	0
MEMZ-In-Powershell	3	1	1	0	0	0	0	0
MEMZ-with-Powershell	2	1	1	0	0	0	0	0
Mimikatz	1	1	0	0	0	0	0	0
MOAB	1	1	0	0	0	0	0	0
mobile	6	3	0	0	0	0	0	0
Mouse-Clicks-Recorder	2	1	1	0	0	0	0	0
Mouse-Monitor-to-Discord	2	1	1	0	0	0	0	0
mr-robot_eXit	14	1	0	0	0	0	6	0
Multi_HID_HeyGotAnyGrapes	1	1	0	0	0	0	0	0
Multi_HID_The-Penny-Drops	1	1	0	0	0	0	0	0
Netcat-Client	1	1	0	0	0	0	0	0
Netcat-Reverseshell-On-Log-In	1	1	0	0	0	0	0	0
Netcat-Screenshare	2	1	1	0	0	0	0	0
Network-Enumeration-GUI	2	1	1	0	0	0	0	0
NoMoreIcons	1	1	0	0	0	0	0	0
NSHELL	1	1	0	0	0	0	0	0
NTLM_ducky	1	1	0	0	0	0	0	0
ntlm_exfiltration	1	1	0	0	0	0	0	0
omg-payloads-master	307	189	31	11	5	2	1	0
OneDuckToQuackThemAll	2	2	0	0	0	0	0	0
onemillioncheckboxes_checker	1	1	0	0	0	0	0	0
Open_Link	1	1	0	0	0	0	0	0
Open_website	1	1	0	0	0	0	0	0
open_website_android	1	1	0	0	0	0	0	0
open_website_incognitomode	1	1	0	0	0	0	0	0
open_website_win	1	1	0	0	0	0	0	0
open-website	1	1	0	0	0	0	0	0
Open4Gmail	1	1	0	0	0	0	0	0
Operators	3	3	0	0	0	0	0	0
os_detect	1	1	0	0	0	0	0	0
OSINT	17	17	0	0	0	0	0	0
OSX_Rickroll	1	1	0	0	0	0	0	0
Party_Parrot_OSX	1	1	0	0	0	0	0	0
Party_Parrot_Win	1	1	0	0	0	0	0	0
passive_detect_ready	1	1	0	0	0	0	0	0
passive_windows_detect	1	1	0	0	0	0	0	0
PassVault	1	1	0	0	0	0	0	0
Payload Control	3	3	0	0	0	0	0	0
Payload Hiding	1	1	0	0	0	0	0	0
PC	51	51	0	0	0	0	0	0
Persistent_Keylogger-Telegram_Based	2	1	0	1	0	0	0	0
Persistent_Reverse_Shell-Telegram_Based	2	1	0	1	0	0	0	0
persistentReverseDucky	1	1	0	0	0	0	0	0
