path	category	name	device_type	uid
BruceRFID/Amiibo/Super_Smash_Bros/Snake.nfc	Amiibo	Snake	NTAG215	04 61 9F 72 C2 6A 5F
BruceRFID/Amiibo/Super_Smash_Bros/Villager.nfc	Amiibo	Villager	NTAG215	04 AF F1 D2 62 98 3C
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_81_-_Dark_Samus.nfc	Amiibo	[SSB]_81_-_Dark_Samus	NTAG215	04 D3 8E D0 0B 50 7E
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_89_-_Alex.nfc	Amiibo	[SSB]_89_-_Alex	NTAG215	04 1E C8 F9 A2 A0 F1
BruceRFID/Amiibo/Super_Smash_Bros/Mega_Man.nfc	Amiibo	Mega_Man	NTAG215	04 E0 25 49 62 E3 3E
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_80_-_Chrom.nfc	Amiibo	[SSB]_80_-_Chrom	NTAG215	04 E0 EE 15 5F 6D 81
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_29_-_Meta_Knight.nfc	Amiibo	[SSB]_29_-_Meta_Knight	NTAG215	04 CA 4F FB 60 1F 5F
BruceRFID/Amiibo/Super_Smash_Bros/Shulk.nfc	Amiibo	Shulk	NTAG215	04 29 85 20 42 C2 3E
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_31_-_Lucina.nfc	Amiibo	[SSB]_31_-_Lucina	NTAG215	04 0A CE 01 C7 A3 5F
BruceRFID/Amiibo/Super_Smash_Bros/Richter.nfc	Amiibo	Richter	NTAG215	04 A8 CB EF D2 13 65
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_78_-_Simon.nfc	Amiibo	[SSB]_78_-_Simon	NTAG215	04 98 5A FB 4F D3 FF
BruceRFID/Amiibo/Super_Smash_Bros/Ness.nfc	Amiibo	Ness	NTAG215	04 3B 81 36 4A 6F 40
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_23_-_Sheik.nfc	Amiibo	[SSB]_23_-_Sheik	NTAG215	04 7A 2E 7F F3 77 B3
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_07_-_Samus.nfc	Amiibo	[SSB]_07_-_Samus	NTAG215	04 0E E2 13 F9 6E E0
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_91_-_Kazuya.nfc	Amiibo	[SSB]_91_-_Kazuya	NTAG215	04 7F C6 DB 87 DA EE
BruceRFID/Amiibo/Super_Smash_Bros/Bayonetta_Player_2.nfc	Amiibo	Bayonetta_Player_2	NTAG215	04 13 9A 05 62 BA 4C
BruceRFID/Amiibo/Super_Smash_Bros/Greninja.nfc	Amiibo	Greninja	NTAG215	04 31 EE 53 02 72 40
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_64_-_Inkling.nfc	Amiibo	[SSB]_64_-_Inkling	NTAG215	04 D7 6A 8E F5 DB 9D
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_15_-_Luigi.nfc	Amiibo	[SSB]_15_-_Luigi	NTAG215	04 13 4E 14 4E 2D 2B
BruceRFID/Amiibo/Super_Smash_Bros/Young_Link.nfc	Amiibo	Young_Link	NTAG215	04 97 08 13 B2 43 5F
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_10_-_Pikachu.nfc	Amiibo	[SSB]_10_-_Pikachu	NTAG215	04 40 65 E5 26 01 36
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_55_-_Roy.nfc	Amiibo	[SSB]_55_-_Roy	NTAG215	04 2A 5F 97 4D 6C 54
BruceRFID/Amiibo/Super_Smash_Bros/Dr_Mario.nfc	Amiibo	Dr_Mario	NTAG215	04 D2 F2 AC 02 7D 48
BruceRFID/Amiibo/Super_Smash_Bros/Simon.nfc	Amiibo	Simon	NTAG215	04 8B 53 54 E2 D9 64
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_92_-_Mythra.nfc	Amiibo	[SSB]_92_-_Mythra	NTAG215	04 29 F0 88 25 4A 84
BruceRFID/Amiibo/Super_Smash_Bros/Dark_Samus.nfc	Amiibo	Dark_Samus	NTAG215	04 12 60 FE 02 14 65
BruceRFID/Amiibo/Super_Smash_Bros/Joker.nfc	Amiibo	Joker	NTAG215	04 F5 0F 76 2F 10 02
BruceRFID/Amiibo/Super_Smash_Bros/Olimar.nfc	Amiibo	Olimar	NTAG215	04 69 D2 37 62 7C 48
BruceRFID/Amiibo/Super_Smash_Bros/Wolf.nfc	Amiibo	Wolf	NTAG215	04 4C 98 58 31 10 02
BruceRFID/Amiibo/Super_Smash_Bros/Toon_Link.nfc	Amiibo	Toon_Link	NTAG215	04 F1 2F 52 42 C2 3E
BruceRFID/Amiibo/Super_Smash_Bros/Bayonetta_Player_1.nfc	Amiibo	Bayonetta_Player_1	NTAG215	04 34 C2 7A 1A BA 4C
BruceRFID/Amiibo/Super_Smash_Bros/Alex.nfc	Amiibo	Alex	NTAG215	04 5B FF 12 B6 72 80
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_08_-_Wii_Fit_Trainer.nfc	Amiibo	[SSB]_08_-_Wii_Fit_Trainer	NTAG215	04 78 68 14 EE E8 EC
BruceRFID/Amiibo/Super_Smash_Bros/King_Dedede.nfc	Amiibo	King_Dedede	NTAG215	04 CB E1 A6 BA A1 40
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_58_-_Cloud_(Player_2).nfc	Amiibo	[SSB]_58_-_Cloud_(Player_2)	NTAG215	04 0B 13 39 1A E6 BA
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_13_-_Zelda.nfc	Amiibo	[SSB]_13_-_Zelda	NTAG215	04 DD 9D 61 4E 16 32
BruceRFID/Amiibo/Super_Smash_Bros/Yoshi.nfc	Amiibo	Yoshi	NTAG215	04 4A E1 27 6A BD 3C
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_74_-_Pokémon_Trainer.nfc	Amiibo	[SSB]_74_-_Pokémon_Trainer	NTAG215	04 D2 49 42 B6 96 E6
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_90_-_Sephiroth.nfc	Amiibo	[SSB]_90_-_Sephiroth	NTAG215	04 BF 34 AB D5 FD 0B
BruceRFID/Amiibo/Super_Smash_Bros/Jigglypuff.nfc	Amiibo	Jigglypuff	NTAG215	04 3B 45 F2 12 72 40
BruceRFID/Amiibo/Super_Smash_Bros/Pyra.nfc	Amiibo	Pyra	NTAG215	04 9A 0A 56 FA 76 95
BruceRFID/Amiibo/Super_Smash_Bros/Sheik.nfc	Amiibo	Sheik	NTAG215	04 7B 6E 99 B2 A1 3E
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_61_-_Bayonetta.nfc	Amiibo	[SSB]_61_-_Bayonetta	NTAG215	04 2A 68 93 1E 1A 6D
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_65_-_Ridley.nfc	Amiibo	[SSB]_65_-_Ridley	NTAG215	04 28 44 6D 33 F7 5E
BruceRFID/Amiibo/Super_Smash_Bros/Terry.nfc	Amiibo	Terry	NTAG215	04 49 92 57 92 AA 52
BruceRFID/Amiibo/Super_Smash_Bros/Falco.nfc	Amiibo	Falco	NTAG215	04 14 3C A4 FA 57 49
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_28_-_King_Dedede.nfc	Amiibo	[SSB]_28_-_King_Dedede	NTAG215	04 78 C6 4E 2A 3A E7
BruceRFID/Amiibo/Super_Smash_Bros/Pichu.nfc	Amiibo	Pichu	NTAG215	04 93 76 69 FA 57 5D
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_44_-_Olimar.nfc	Amiibo	[SSB]_44_-_Olimar	NTAG215	04 8A A7 B9 D7 DB D2
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_92_-_Pyra.nfc	Amiibo	[SSB]_92_-_Pyra	NTAG215	04 26 4B 6E 25 87 8D
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_18_-_Captain_Falcon.nfc	Amiibo	[SSB]_18_-_Captain_Falcon	NTAG215	04 1A 4B AD 31 08 F3
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_43_-_Bowser_Jr.nfc	Amiibo	[SSB]_43_-_Bowser_Jr	NTAG215	04 1F D4 A3 4B C6 71
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_79_-_Incineroar.nfc	Amiibo	[SSB]_79_-_Incineroar	NTAG215	04 E0 19 29 6D 67 47
BruceRFID/Amiibo/Super_Smash_Bros/Cloud_Player_1.nfc	Amiibo	Cloud_Player_1	NTAG215	04 62 ED 03 32 72 4C
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_67_-_King_K_Rool.nfc	Amiibo	[SSB]_67_-_King_K_Rool	NTAG215	04 F3 C5 E4 A1 9E 34
BruceRFID/Amiibo/Super_Smash_Bros/Banjo_Kazooie.nfc	Amiibo	Banjo_Kazooie	NTAG215	04 0C 75 F5 92 04 6C
